entity,birth_date,ramp_raw_week,ramp_raw_count,ramp_weighted_week,ramp_weighted_count,ramp_tier1_week,ramp_tier12_week,onset_cutoff,onset_score,lead_raw_days,lead_weighted_days,lead_tier1_days,lead_tier12_days,sign_raw,sign_weighted,sign_tier1,sign_tier12,excluded_reason
AlphaFold 3,2024-05-08,2024-05-06,36.0,,,,,2024-06,3.667,26,,,,1,,,,
AlphaGeometry,2024-01-17,2024-01-15,7.0,,,,,2024-06,4.0,138,,,,1,,,,
Apple Intelligence,2024-06-10,2024-06-10,1878.0,2024-09-09,11.0,2024-09-09,2024-09-09,2024-06,4.0,-9,-100,-100,-100,-1,-1,-1,-1,
Apple Vision Pro,2023-06-05,2023-06-05,1421.0,2023-06-05,12.0,2023-06-05,2023-06-05,2023-10,4.0,118,118,118,118,1,1,1,1,
Black Forest Labs,2024-08-01,2024-08-12,42.0,,,,,2025-06,3.0,293,,,,1,,,,
Bolt.new,2024-10-04,,,,,,,,,,,,,,,,,paper_exclusion (10 FAIL / 7 no-onset)
Claude 3,2024-03-04,2024-03-04,68.0,,,,,2024-06,3.333,89,,,,1,,,,
Command R+,2024-04-04,2024-03-18,12.0,,,,,2025-06,3.667,440,,,,1,,,,
Cursor,2023-03-01,2025-04-14,35.0,2026-06-15,14.25,2026-06-15,2026-06-15,2025-06,3.0,48,-379,-379,-379,1,-1,-1,-1,
DBRX,2024-03-27,,,,,,,,,,,,,,,,,paper_exclusion (10 FAIL / 7 no-onset)
DeepSeek,2023-07-17,,,,,,,,,,,,,,,,,paper_exclusion (10 FAIL / 7 no-onset)
DeepSeek-R1,2025-01-20,,,,,,,,,,,,,,,,,paper_exclusion (10 FAIL / 7 no-onset)
Devin AI,2024-03-12,2024-03-11,7.0,,,,,2024-06,3.333,82,,,,1,,,,
Dream Machine,2024-06-12,,,,,,,,,,,,,,,,,paper_exclusion (10 FAIL / 7 no-onset)
ElevenLabs,2023-01-23,2023-01-30,48.0,,,,,2023-10,4.0,244,,,,1,,,,
GPT-4,2023-03-14,2023-03-13,1535.0,,,,,2023-10,4.0,202,,,,1,,,,
GPT-4o,2024-05-13,2024-05-13,734.0,,,,,2024-06,4.0,19,,,,1,,,,
Gemini (Google model),2023-12-06,,,,,,,,,,,,,,,,,paper_exclusion (10 FAIL / 7 no-onset)
Gemini 1.5 Pro,2024-02-15,2024-02-12,37.0,,,,,2024-06,4.0,110,,,,1,,,,
Grok,2023-11-04,2025-02-17,355.0,2026-01-12,24.5,2026-01-12,2026-01-12,2024-06,4.0,-261,-590,-590,-590,-1,-1,-1,-1,
Humane Ai Pin,2023-11-09,2023-11-06,42.0,,,,,2023-10,3.0,-36,,,,-1,,,,
Ideogram,2023-08-22,,,,,,,,,,,,,,,,,paper_exclusion (10 FAIL / 7 no-onset)
Kimi,2023-10-09,,,,,,,,,,,,,,,,,paper_exclusion (10 FAIL / 7 no-onset)
Liquid AI,2023-12-06,,,,,,,,,,,,,,,,,paper_exclusion (10 FAIL / 7 no-onset)
Llama 2,2023-07-18,2023-07-17,221.0,,,,,2023-10,4.0,76,,,,1,,,,
Llama 3,2024-04-18,2024-04-08,42.0,,,,,2024-06,3.0,54,,,,1,,,,
Lovable,2024-11-21,,,,,,,,,,,,,,,,,paper_exclusion (10 FAIL / 7 no-onset)
Mamba,2023-12-01,,,,,,,,,,,,,,,,,paper_exclusion (10 FAIL / 7 no-onset)
Manus,2025-03-06,,,,,,,,,,,,,,,,,paper_exclusion (10 FAIL / 7 no-onset)
Mistral AI,2023-04-28,2023-06-12,25.0,,,,,2023-10,4.0,111,,,,1,,,,
Mixtral 8x7B,2023-12-08,2023-12-11,9.0,,,,,2024-06,4.0,173,,,,1,,,,
NotebookLM,2023-07-12,2023-07-10,17.0,,,,,2023-10,3.0,83,,,,1,,,,
Ollama,2023-07-01,2024-04-22,20.0,,,,,2024-06,3.667,40,,,,1,,,,
OpenAI o1,2024-09-12,,,,,,,,,,,,,,,,,paper_exclusion (10 FAIL / 7 no-onset)
OpenAI o3,2024-12-20,,,,,,,,,,,,,,,,,paper_exclusion (10 FAIL / 7 no-onset)
Operator,2025-01-23,,,,,,,,,,,,,,,,,paper_exclusion (10 FAIL / 7 no-onset)
Phi-3,2024-04-23,2024-04-22,58.0,,,,,2024-06,3.0,40,,,,1,,,,
Qwen,2023-08-03,2023-07-31,18.0,2025-01-27,11.25,2025-01-27,2025-01-27,2023-10,3.0,62,-484,-484,-484,1,-1,-1,-1,
Rabbit R1,2024-01-09,2024-01-08,126.0,,,,,2024-06,4.0,145,,,,1,,,,
Safe Superintelligence,2024-06-19,2024-06-17,133.0,,,,,2024-06,4.0,-16,,,,-1,,,,
Sakana AI,2023-08-01,2024-03-18,7.0,,,,,2024-06,4.0,75,,,,1,,,,
Sora,2024-02-15,2024-02-12,169.0,2025-12-15,9.5,2025-12-15,2025-12-15,2024-06,3.333,110,-562,-562,-562,1,-1,-1,-1,
Stable Diffusion 3,2024-02-22,2024-02-19,7.0,,,,,2024-06,3.667,103,,,,1,,,,
Suno,2023-12-20,2024-02-26,34.0,2024-06-24,14.25,2024-06-24,2024-06-24,2024-06,3.333,96,-23,-23,-23,1,-1,-1,-1,
Threads,2023-07-05,2023-07-03,3920.0,2023-07-03,8.5,,2023-07-03,2023-10,4.0,90,90,,90,1,1,,1,
Udio,2024-04-10,2024-06-24,218.0,2024-06-24,14.75,2024-06-24,2024-06-24,2024-06,3.0,-23,-23,-23,-23,-1,-1,-1,-1,
Windsurf,2024-11-13,,,,,,,,,,,,,,,,,no_onset (max P < 3)
World Labs,2024-09-13,,,,,,,,,,,,,,,,,paper_exclusion (10 FAIL / 7 no-onset)
vLLM,2023-06-20,,,,,,,,,,,,,,,,,paper_exclusion (10 FAIL / 7 no-onset)
xAI,2023-07-12,2023-07-10,455.0,2026-01-12,18.5,2026-01-12,2026-01-12,2024-06,3.667,327,-590,-590,-590,1,-1,-1,-1,
