variant,ramp_threshold,onset_threshold,count_type,weight_t1,weight_t2,weight_t3,n_precedes,n_testable,n_ties,median_lead_days,p_value
baseline,0.05,2,raw,1.0,0.5,0.25,28,33,0,83,6.618769839406013e-05
baseline,0.05,2,weighted,1.0,0.5,0.25,0,0,0,0,1.0
baseline,0.05,2,tier1_only,1.0,0.5,0.25,0,0,0,0,1.0
baseline,0.05,2,tier1_plus_2,1.0,0.5,0.25,0,0,0,0,1.0
baseline,0.05,3,raw,1.0,0.5,0.25,30,33,0,89,1.4011748135089874e-06
baseline,0.05,3,weighted,1.0,0.5,0.25,0,0,0,0,1.0
baseline,0.05,3,tier1_only,1.0,0.5,0.25,0,0,0,0,1.0
baseline,0.05,3,tier1_plus_2,1.0,0.5,0.25,0,0,0,0,1.0
baseline,0.05,4,raw,1.0,0.5,0.25,24,26,0,166,1.049041748046875e-05
baseline,0.05,4,weighted,1.0,0.5,0.25,0,0,0,0,1.0
baseline,0.05,4,tier1_only,1.0,0.5,0.25,0,0,0,0,1.0
baseline,0.05,4,tier1_plus_2,1.0,0.5,0.25,0,0,0,0,1.0
baseline,0.1,2,raw,1.0,0.5,0.25,26,33,0,82,0.0013187271542847157
baseline,0.1,2,weighted,1.0,0.5,0.25,0,0,0,0,1.0
baseline,0.1,2,tier1_only,1.0,0.5,0.25,0,0,0,0,1.0
baseline,0.1,2,tier1_plus_2,1.0,0.5,0.25,0,0,0,0,1.0
baseline,0.1,3,raw,1.0,0.5,0.25,28,33,0,83,6.618769839406013e-05
baseline,0.1,3,weighted,1.0,0.5,0.25,0,0,0,0,1.0
baseline,0.1,3,tier1_only,1.0,0.5,0.25,0,0,0,0,1.0
baseline,0.1,3,tier1_plus_2,1.0,0.5,0.25,0,0,0,0,1.0
baseline,0.1,4,raw,1.0,0.5,0.25,23,26,0,138,8.797645568847656e-05
baseline,0.1,4,weighted,1.0,0.5,0.25,0,0,0,0,1.0
baseline,0.1,4,tier1_only,1.0,0.5,0.25,0,0,0,0,1.0
baseline,0.1,4,tier1_plus_2,1.0,0.5,0.25,0,0,0,0,1.0
baseline,0.2,2,raw,1.0,0.5,0.25,22,33,0,48,0.08014331245794892
baseline,0.2,2,weighted,1.0,0.5,0.25,0,0,0,0,1.0
baseline,0.2,2,tier1_only,1.0,0.5,0.25,0,0,0,0,1.0
baseline,0.2,2,tier1_plus_2,1.0,0.5,0.25,0,0,0,0,1.0
baseline,0.2,3,raw,1.0,0.5,0.25,23,33,0,54,0.03508203336969018
baseline,0.2,3,weighted,1.0,0.5,0.25,0,0,0,0,1.0
baseline,0.2,3,tier1_only,1.0,0.5,0.25,0,0,0,0,1.0
baseline,0.2,3,tier1_plus_2,1.0,0.5,0.25,0,0,0,0,1.0
baseline,0.2,4,raw,1.0,0.5,0.25,20,26,0,125,0.009355306625366211
