entity,window,date,title,domain,url,suggested_label,relevant
Apple Intelligence,peak_week,2024-09-09,iOS 18 release date confirmed Apple Intelligence is closer than you think,imore.com,https://www.imore.com/ios/ios-18/ios-18-release-date-confirmed-apple-intelligence-is-closer-than-you-think,y,y
Apple Intelligence,peak_week,2024-09-09,The Biggest Features Coming to iPhones With iOS 18,lifehacker.com.au,https://www.lifehacker.com.au/2024/09/the-biggest-features-coming-to-iphones-with-ios-18/,?,leads to different article
Apple Intelligence,peak_week,2024-09-09,Here when iOS 18 and Apple Intelligence will be available,gsmarena.com,https://www.gsmarena.com/heres_when_ios_18_and_apple_intelligence_will_be_available-news-64464.php,y,y
Apple Intelligence,peak_week,2024-09-09,Apple iOS 18 release date announcement : When you can download it,mashable.com,https://mashable.com/article/apple-ios-18-release-date-how-to-download,?,y
Apple Intelligence,peak_week,2024-09-09,"Here when you can get iOS 18 , iPadOS 18 , macOS Sequoia and watchOS 11 on your devices",tomsguide.com,https://www.tomsguide.com/phones/iphones/heres-when-you-can-get-ios-18-ipados-18-macos-sequoia-and-watchos-11-on-your-devices,?,y
Apple Intelligence,peak_week,2024-09-09,iOS 18 release date : here what you need to know,neowin.net,https://www.neowin.net/news/ios-18-release-date-heres-what-you-need-to-know/,?,y
Apple Intelligence,peak_week,2024-09-09,"iOS 18 , iPadOS 18 will be available on September 16 - Current Mac Hardware Discussions on AppleInsider Forums",forums.appleinsider.com,https://forums.appleinsider.com/discussion/237539,?,y
Apple Intelligence,peak_week,2024-09-09,Apple Reveals Release Date for iOS 18,howtogeek.com,https://www.howtogeek.com/apple-ios-18-release-date-confirmed/,?,y
Apple Intelligence,peak_week,2024-09-09,Here are all the devices compatible with iOS 18,techcrunch.com,https://techcrunch.com/2024/09/09/here-are-all-the-devices-compatible-with-ios-18/,?,y
Apple Intelligence,peak_week,2024-09-09,Apple devices with Apple Intelligence,mashable.com,https://mashable.com/article/which-devices-have-apple-intelligence,y,y
Apple Intelligence,peak_week,2024-09-10,iOS 18 . 1 update in October to have Apple Intelligence for iPhone 16,androidheadlines.com,https://www.androidheadlines.com/2024/09/ios-18-1-update-in-october-to-have-apple-intelligence-for-iphone-16.html,y,y
Apple Intelligence,peak_week,2024-09-10,Apple iOS 18 release date announcement : When you can download it,yahoo.com,https://www.yahoo.com/tech/apple-ios-18-release-date-202039390.html,?,y
Apple Intelligence,peak_week,2024-09-10,iOS 18 to be on September 16 : Full list of iPhones eligible for upgrade,digit.in,https://www.digit.in/news/mobile-phones/ios-18-to-be-on-september-16-full-list-of-iphones-eligible-for-upgrade.html,?,y
Apple Intelligence,peak_week,2024-09-11,iPhone users who dont care for Apple Intelligence can stay on iOS 17,phonearena.com,https://www.phonearena.com/news/iphone-ios-18-ios-17-update-apple-intelligence_id162450,y,y
Apple Intelligence,peak_week,2024-09-11,Apple iOS 18 release date is September 16 but is your iPhone compatible ? Here are the eligible devices and new features to expect,engadget.com,https://www.engadget.com/mobile/apples-ios-18-release-date-is-september-16-but-is-your-iphone-compatible-here-are-the-eligible-devices-and-new-features-to-expect-155304853.html,?,y
Apple Intelligence,peak_week,2024-09-11,iOS 18 review : The beginning of a new era has been delayed,bgr.com,https://bgr.com/reviews/ios-18-review/,?,y
Apple Intelligence,peak_week,2024-09-11,Phone 16 receives Apple Intelligence features via iOS 18 . 1 beta 3 - iOS Discussions on AppleInsider Forums,forums.appleinsider.com,https://forums.appleinsider.com/discussion/237574,y,y
Apple Intelligence,peak_week,2024-09-11,iPhone 16 lineup receives Apple Intelligence via iOS 18 . 1 beta 3,appleinsider.com,https://appleinsider.com/articles/24/09/11/phone-16-receives-apple-intelligence-features-via-ios-181-beta-3,y,y
Apple Intelligence,peak_week,2024-09-12,iOS 18 . 1 beta with Apple Intelligence now available for iPhone 16,9to5mac.com,https://9to5mac.com/2024/09/11/ios-18-1-beta-iphone-16/,y,y
Apple Intelligence,peak_week,2024-09-12,Apple Releases iOS 18 . 1 With Apple Intelligence Beta For iPhone 16 And iPhone 16 Pro,wccftech.com,https://wccftech.com/apple-releases-ios-18-1-with-apple-intelligence-beta-for-iphone-16-and-iphone-16-pro/,y,y
Apple Intelligence,peak_week,2024-09-12,Apple releases iOS 18 . 1 Beta with Apple Intelligence for iPhone 16,androidheadlines.com,https://www.androidheadlines.com/2024/09/apple-ios-18-1-beta-with-apple-intelligence-for-iphone-16.html,y,y
Apple Intelligence,peak_week,2024-09-12,How to get Apple Intelligence on your iPhone 16 on day 1,bgr.com,https://bgr.com/tech/how-to-get-apple-intelligence-on-your-iphone-16-on-day-1/,y,y
Apple Intelligence,peak_week,2024-09-12,iOS 18 . 1 beta 3 is already available for the iPhone 16 and iPhone 16 Pro models,phonearena.com,https://www.phonearena.com/news/ios-18.1-beta-3-is-already-available-for-the-iphone-16-and-iphone-16-pro-models_id162539,?,y
Apple Intelligence,peak_week,2024-09-14,Three new Apple Intelligence ads released including one for  personal Siri,phonearena.com,https://www.phonearena.com/news/three-new-apple-intelligence-ads-released_id162598,y,y
Apple Intelligence,peak_week,2024-09-15,"iOS 18 release time , new features - how to check your iPhone is compatible",express.co.uk,https://www.express.co.uk/life-style/science-technology/1948814/ios-18-uk-release-time-features-iPhone,?,y
Apple Vision Pro,peak_week,2023-06-05,Apple Reveals Vision Pro Mixed Reality Headset,gamerant.com,https://gamerant.com/apple-vision-pro-mixed-reality-headset/,y,y
Apple Vision Pro,peak_week,2023-06-05,"Apple Vision Pro Has Custom Disney+ Content , Including Marvel What If ...?",comingsoon.net,https://www.comingsoon.net/movies/news/1293504-apple-vision-pro-will-have-custom-disney-content-including-marvels-what-if,y,y
Apple Vision Pro,peak_week,2023-06-05,"Apple Announces  Vision Pro  With 3D Camera Starting At $3 , 499 ; Here Everything You Need To Know",zeenews.india.com,https://zeenews.india.com:443/technology/apple-vision-pro-with-3d-camera-announced-starting-at-3499-heres-everything-you-need-to-know-2618109.html,y,y
Apple Vision Pro,peak_week,2023-06-05,Apple Vision Pro vs Meta Quest Pro : Is the Apple headset worth it ?,trustedreviews.com,https://www.trustedreviews.com/versus/apple-vision-pro-vs-meta-quest-pro-is-the-apple-headset-worth-it-4333885,y,y
Apple Vision Pro,peak_week,2023-06-05,"Apple WWDC23 : Tim Cook Introduces the Much Awaited and Highly Speculated Apple Vision Pro AR / VR Headset as a Spatial Computer That You Can Control With Your Hands , Gestures and Voice ( See Images )",latestly.com,https://www.latestly.com/socially/technology/apple-wwdc23-tim-cook-introduces-the-much-awaited-and-highly-speculated-apple-vision-pro-arvr-headset-as-a-spatial-computer-that-you-can-control-with-your-hands-gestures-and-voice-see-images-5180303.html,y,y
