entity,birth_date,provider,model,reported_cutoff,score_run1,score_run2,score_run3,score_mean,score_std,score_min,score_max,agreement
AlphaFold 3,2024-05-08,openai,gpt-4-0613,2021-09,0,0,0,0,0.0,0,0,exact
AlphaFold 3,2024-05-08,openai,gpt-4.1-2025-04-14,2024-06,4,3,4,3.667,0.471,3,4,within_1
AlphaFold 3,2024-05-08,openai,gpt-4o-2024-05-13,2023-10,0,2,2,1.333,0.943,0,2,diverge
AlphaFold 3,2024-05-08,openai,gpt-4o-2024-11-20,2023-10,0,0,0,0,0.0,0,0,exact
AlphaFold 3,2024-05-08,openai,gpt-5.2,2025-06,3,4,3,3.333,0.471,3,4,within_1
AlphaGeometry,2024-01-17,openai,gpt-4-0613,2021-09,0,0,0,0,0.0,0,0,exact
AlphaGeometry,2024-01-17,openai,gpt-4.1-2025-04-14,2024-06,4,4,4,4,0.0,4,4,exact
AlphaGeometry,2024-01-17,openai,gpt-4o-2024-05-13,2023-10,0,0,0,0,0.0,0,0,exact
AlphaGeometry,2024-01-17,openai,gpt-4o-2024-11-20,2023-10,0,0,0,0,0.0,0,0,exact
AlphaGeometry,2024-01-17,openai,gpt-5.2,2025-06,4,4,4,4,0.0,4,4,exact
Apple Intelligence,2024-06-10,openai,gpt-4-0613,2021-09,0,0,0,0,0.0,0,0,exact
Apple Intelligence,2024-06-10,openai,gpt-4.1-2025-04-14,2024-06,4,4,4,4,0.0,4,4,exact
Apple Intelligence,2024-06-10,openai,gpt-4o-2024-05-13,2023-10,0,0,0,0,0.0,0,0,exact
Apple Intelligence,2024-06-10,openai,gpt-4o-2024-11-20,2023-10,0,0,0,0,0.0,0,0,exact
Apple Intelligence,2024-06-10,openai,gpt-5.2,2025-06,4,4,4,4,0.0,4,4,exact
Apple Vision Pro,2023-06-05,openai,gpt-4-0613,2021-09,0,0,0,0,0.0,0,0,exact
Apple Vision Pro,2023-06-05,openai,gpt-4.1-2025-04-14,2024-06,4,4,4,4,0.0,4,4,exact
Apple Vision Pro,2023-06-05,openai,gpt-4o-2024-05-13,2023-10,3,3,3,3,0.0,3,3,exact
Apple Vision Pro,2023-06-05,openai,gpt-4o-2024-11-20,2023-10,4,4,4,4,0.0,4,4,exact
Apple Vision Pro,2023-06-05,openai,gpt-5.2,2025-06,4,4,4,4,0.0,4,4,exact
Black Forest Labs,2024-08-01,openai,gpt-4-0613,2021-09,0,0,0,0,0.0,0,0,exact
Black Forest Labs,2024-08-01,openai,gpt-4.1-2025-04-14,2024-06,0,0,0,0,0.0,0,0,exact
Black Forest Labs,2024-08-01,openai,gpt-4o-2024-05-13,2023-10,0,0,0,0,0.0,0,0,exact
Black Forest Labs,2024-08-01,openai,gpt-4o-2024-11-20,2023-10,0,0,0,0,0.0,0,0,exact
Black Forest Labs,2024-08-01,openai,gpt-5.2,2025-06,3,3,3,3,0.0,3,3,exact
Bolt.new,2024-10-04,openai,gpt-4-0613,2021-09,0,0,0,0,0.0,0,0,exact
Bolt.new,2024-10-04,openai,gpt-4.1-2025-04-14,2024-06,0,0,0,0,0.0,0,0,exact
Bolt.new,2024-10-04,openai,gpt-4o-2024-05-13,2023-10,0,0,0,0,0.0,0,0,exact
Bolt.new,2024-10-04,openai,gpt-4o-2024-11-20,2023-10,0,0,0,0,0.0,0,0,exact
Bolt.new,2024-10-04,openai,gpt-5.2,2025-06,1,0,0,0.333,0.471,0,1,within_1
Claude 3,2024-03-04,openai,gpt-4-0613,2021-09,0,0,0,0,0.0,0,0,exact
Claude 3,2024-03-04,openai,gpt-4.1-2025-04-14,2024-06,3,4,3,3.333,0.471,3,4,within_1
Claude 3,2024-03-04,openai,gpt-4o-2024-05-13,2023-10,0,0,0,0,0.0,0,0,exact
Claude 3,2024-03-04,openai,gpt-4o-2024-11-20,2023-10,0,0,0,0,0.0,0,0,exact
Claude 3,2024-03-04,openai,gpt-5.2,2025-06,4,4,4,4,0.0,4,4,exact
Command R+,2024-04-04,openai,gpt-4-0613,2021-09,0,0,0,0,0.0,0,0,exact
Command R+,2024-04-04,openai,gpt-4.1-2025-04-14,2024-06,0,0,0,0,0.0,0,0,exact
Command R+,2024-04-04,openai,gpt-4o-2024-05-13,2023-10,0,0,0,0,0.0,0,0,exact
Command R+,2024-04-04,openai,gpt-4o-2024-11-20,2023-10,0,0,0,0,0.0,0,0,exact
Command R+,2024-04-04,openai,gpt-5.2,2025-06,4,4,3,3.667,0.471,3,4,within_1
Cursor (the AI code editor),2023-03-01,openai,gpt-4-0613,2021-09,0,0,0,0,0.0,0,0,exact
Cursor (the AI code editor),2023-03-01,openai,gpt-4.1-2025-04-14,2024-06,2,2,2,2,0.0,2,2,exact
Cursor (the AI code editor),2023-03-01,openai,gpt-4o-2024-05-13,2023-10,0,0,0,0,0.0,0,0,exact
Cursor (the AI code editor),2023-03-01,openai,gpt-4o-2024-11-20,2023-10,0,0,0,0,0.0,0,0,exact
Cursor (the AI code editor),2023-03-01,openai,gpt-5.2,2025-06,3,3,3,3,0.0,3,3,exact
DBRX,2024-03-27,openai,gpt-4-0613,2021-09,0,0,0,0,0.0,0,0,exact
DBRX,2024-03-27,openai,gpt-4.1-2025-04-14,2024-06,3,4,4,3.667,0.471,3,4,within_1
DBRX,2024-03-27,openai,gpt-4o-2024-05-13,2023-10,0,0,0,0,0.0,0,0,exact
DBRX,2024-03-27,openai,gpt-4o-2024-11-20,2023-10,0,0,0,0,0.0,0,0,exact
DBRX,2024-03-27,openai,gpt-5.2,2025-06,4,3,4,3.667,0.471,3,4,within_1
DeepSeek,2023-07-17,openai,gpt-4-0613,2021-09,0,0,0,0,0.0,0,0,exact
DeepSeek,2023-07-17,openai,gpt-4.1-2025-04-14,2024-06,2,2,2,2,0.0,2,2,exact
DeepSeek,2023-07-17,openai,gpt-4o-2024-05-13,2023-10,0,0,0,0,0.0,0,0,exact
DeepSeek,2023-07-17,openai,gpt-4o-2024-11-20,2023-10,0,0,0,0,0.0,0,0,exact
DeepSeek,2023-07-17,openai,gpt-5.2,2025-06,2,3,3,2.667,0.471,2,3,within_1
