entity,birth_date,url,offset_days,target_date,snapshot_timestamp,S_t,title,h1,meta_description,json_ld,schema_org_type,open_graph,social_links,content_depth,word_count,status,snapshot_url
ElevenLabs,2023-01-23,https://elevenlabs.io,0,2023-01-23,20230119213943,4,1,0,1,0,0,1,1,0,53,ok,https://web.archive.org/web/20230119213943id_/https://elevenlabs.io
ElevenLabs,2023-01-23,https://elevenlabs.io,30,2023-02-22,20230119213943,4,1,0,1,0,0,1,1,0,53,ok,https://web.archive.org/web/20230119213943id_/https://elevenlabs.io
ElevenLabs,2023-01-23,https://elevenlabs.io,60,2023-03-24,20230119213943,4,1,0,1,0,0,1,1,0,53,ok,https://web.archive.org/web/20230119213943id_/https://elevenlabs.io
ElevenLabs,2023-01-23,https://elevenlabs.io,90,2023-04-23,20230716122833,1,1,0,0,0,0,0,0,0,8,ok,https://web.archive.org/web/20230716122833id_/https://elevenlabs.io
ElevenLabs,2023-01-23,https://elevenlabs.io,180,2023-07-22,20230722230315,1,1,0,0,0,0,0,0,0,8,ok,https://web.archive.org/web/20230722230315id_/https://elevenlabs.io
Cursor,2023-03-01,https://www.cursor.com,0,2023-03-01,20230322181134,3,1,1,1,0,0,0,0,0,27,ok,https://web.archive.org/web/20230322181134id_/https://www.cursor.com
Cursor,2023-03-01,https://www.cursor.com,30,2023-03-31,20230331183813,3,1,1,1,0,0,0,0,0,27,ok,https://web.archive.org/web/20230331183813id_/https://www.cursor.com
Cursor,2023-03-01,https://www.cursor.com,60,2023-04-30,20230422125531,3,1,1,1,0,0,0,0,0,27,ok,https://web.archive.org/web/20230422125531id_/https://www.cursor.com
Cursor,2023-03-01,https://www.cursor.com,90,2023-05-30,20230516183321,3,1,1,1,0,0,0,0,0,27,ok,https://web.archive.org/web/20230516183321id_/https://www.cursor.com
Cursor,2023-03-01,https://www.cursor.com,180,2023-08-28,20230722081740,3,1,1,1,0,0,0,0,0,27,ok,https://web.archive.org/web/20230722081740id_/https://www.cursor.com
GPT-4,2023-03-14,https://openai.com/gpt-4,0,2023-03-14,20230602183635,5,1,1,0,0,0,1,1,1,1168,ok,https://web.archive.org/web/20230602183635id_/https://openai.com/gpt-4
GPT-4,2023-03-14,https://openai.com/gpt-4,30,2023-04-13,20230602183635,5,1,1,0,0,0,1,1,1,1168,ok,https://web.archive.org/web/20230602183635id_/https://openai.com/gpt-4
GPT-4,2023-03-14,https://openai.com/gpt-4,60,2023-05-13,,,,,,,,,,,,no_snapshot,
GPT-4,2023-03-14,https://openai.com/gpt-4,90,2023-06-12,,,,,,,,,,,,no_snapshot,
GPT-4,2023-03-14,https://openai.com/gpt-4,180,2023-09-10,20230909125328,5,1,1,0,0,0,1,1,1,1174,ok,https://web.archive.org/web/20230909125328id_/https://openai.com/gpt-4
Mistral AI,2023-04-28,https://mistral.ai,0,2023-04-28,20230505202708,2,1,1,0,0,0,0,0,0,49,ok,https://web.archive.org/web/20230505202708id_/https://mistral.ai
Mistral AI,2023-04-28,https://mistral.ai,30,2023-05-28,20230525103737,2,1,1,0,0,0,0,0,0,49,ok,https://web.archive.org/web/20230525103737id_/https://mistral.ai
Mistral AI,2023-04-28,https://mistral.ai,60,2023-06-27,20230626163848,2,1,1,0,0,0,0,0,0,49,ok,https://web.archive.org/web/20230626163848id_/https://mistral.ai
Mistral AI,2023-04-28,https://mistral.ai,90,2023-07-27,20230726231316,2,1,1,0,0,0,0,0,0,49,ok,https://web.archive.org/web/20230726231316id_/https://mistral.ai
Mistral AI,2023-04-28,https://mistral.ai,180,2023-10-25,,,,,,,,,,,,no_snapshot,
Apple Vision Pro,2023-06-05,https://www.apple.com/apple-vision-pro/,0,2023-06-05,20230605234119,7,1,1,1,1,1,1,0,1,2984,ok,https://web.archive.org/web/20230605234119id_/https://www.apple.com/apple-vision-pro/
Apple Vision Pro,2023-06-05,https://www.apple.com/apple-vision-pro/,30,2023-07-05,20230705224450,7,1,1,1,1,1,1,0,1,2993,ok,https://web.archive.org/web/20230705224450id_/https://www.apple.com/apple-vision-pro/
Apple Vision Pro,2023-06-05,https://www.apple.com/apple-vision-pro/,60,2023-08-04,20230804225340,7,1,1,1,1,1,1,0,1,3048,ok,https://web.archive.org/web/20230804225340id_/https://www.apple.com/apple-vision-pro/
Apple Vision Pro,2023-06-05,https://www.apple.com/apple-vision-pro/,90,2023-09-03,,,,,,,,,,,,no_snapshot,
Apple Vision Pro,2023-06-05,https://www.apple.com/apple-vision-pro/,180,2023-12-02,20231202184131,7,1,1,1,1,1,1,0,1,3181,ok,https://web.archive.org/web/20231202184131id_/https://www.apple.com/apple-vision-pro/
vLLM,2023-06-20,https://github.com/vllm-project/vllm,0,2023-06-20,20230621033539,7,1,1,1,0,1,1,1,1,875,ok,https://web.archive.org/web/20230621033539id_/https://github.com/vllm-project/vllm
vLLM,2023-06-20,https://github.com/vllm-project/vllm,30,2023-07-20,,,,,,,,,,,,no_snapshot,
vLLM,2023-06-20,https://github.com/vllm-project/vllm,60,2023-08-19,20230825012740,7,1,1,1,0,1,1,1,1,1287,ok,https://web.archive.org/web/20230825012740id_/https://github.com/vllm-project/vllm
vLLM,2023-06-20,https://github.com/vllm-project/vllm,90,2023-09-18,,,,,,,,,,,,no_snapshot,
vLLM,2023-06-20,https://github.com/vllm-project/vllm,180,2023-12-17,20231217125446,7,1,1,1,0,1,1,1,1,1556,ok,https://web.archive.org/web/20231217125446id_/https://github.com/vllm-project/vllm
Ollama,2023-07-01,https://ollama.com,0,2023-07-01,,,,,,,,,,,,no_snapshot,
Ollama,2023-07-01,https://ollama.com,30,2023-07-31,20240210140350,6,1,0,1,1,1,1,1,0,46,ok,https://web.archive.org/web/20240210140350id_/https://ollama.com
Ollama,2023-07-01,https://ollama.com,60,2023-08-30,20240210140350,6,1,0,1,1,1,1,1,0,46,ok,https://web.archive.org/web/20240210140350id_/https://ollama.com
Ollama,2023-07-01,https://ollama.com,90,2023-09-29,20240210140350,6,1,0,1,1,1,1,1,0,46,ok,https://web.archive.org/web/20240210140350id_/https://ollama.com
Ollama,2023-07-01,https://ollama.com,180,2023-12-28,20240210140350,6,1,0,1,1,1,1,1,0,46,ok,https://web.archive.org/web/20240210140350id_/https://ollama.com
Threads,2023-07-05,https://www.threads.net,0,2023-07-05,20230706000753,3,1,0,1,0,0,1,0,0,1,ok,https://web.archive.org/web/20230706000753id_/https://www.threads.net
Threads,2023-07-05,https://www.threads.net,30,2023-08-04,20230805000920,3,1,0,1,0,0,1,0,0,4,ok,https://web.archive.org/web/20230805000920id_/https://www.threads.net
Threads,2023-07-05,https://www.threads.net,60,2023-09-03,,,,,,,,,,,,no_snapshot,
Threads,2023-07-05,https://www.threads.net,90,2023-10-03,20231004051850,1,0,0,0,0,0,0,0,1,6076,ok,https://web.archive.org/web/20231004051850id_/https://www.threads.net
Threads,2023-07-05,https://www.threads.net,180,2024-01-01,,,,,,,,,,,,no_snapshot,
xAI,2023-07-12,https://x.ai,0,2023-07-12,20230713011556,6,1,1,1,0,0,1,1,1,268,ok,https://web.archive.org/web/20230713011556id_/https://x.ai
xAI,2023-07-12,https://x.ai,30,2023-08-11,,,,,,,,,,,,no_snapshot,
xAI,2023-07-12,https://x.ai,60,2023-09-10,20230911002456,6,1,1,1,0,0,1,1,1,263,ok,https://web.archive.org/web/20230911002456id_/https://x.ai
xAI,2023-07-12,https://x.ai,90,2023-10-10,20231011051159,6,1,1,1,0,0,1,1,1,263,ok,https://web.archive.org/web/20231011051159id_/https://x.ai
xAI,2023-07-12,https://x.ai,180,2024-01-08,20240108212916,6,1,1,1,0,0,1,1,1,1677,ok,https://web.archive.org/web/20240108212916id_/https://x.ai
NotebookLM,2023-07-12,https://notebooklm.google,0,2023-07-12,20230727150931,0,0,0,0,0,0,0,0,0,40,ok,https://web.archive.org/web/20230727150931id_/https://notebooklm.google
NotebookLM,2023-07-12,https://notebooklm.google,30,2023-08-11,20230818025354,0,0,0,0,0,0,0,0,0,40,ok,https://web.archive.org/web/20230818025354id_/https://notebooklm.google
NotebookLM,2023-07-12,https://notebooklm.google,60,2023-09-10,20230912214654,0,0,0,0,0,0,0,0,0,40,ok,https://web.archive.org/web/20230912214654id_/https://notebooklm.google
NotebookLM,2023-07-12,https://notebooklm.google,90,2023-10-10,20231014024303,0,0,0,0,0,0,0,0,0,40,ok,https://web.archive.org/web/20231014024303id_/https://notebooklm.google
NotebookLM,2023-07-12,https://notebooklm.google,180,2024-01-08,20240108142054,3,1,1,0,0,0,0,0,1,239,ok,https://web.archive.org/web/20240108142054id_/https://notebooklm.google
DeepSeek,2023-07-17,https://www.deepseek.com,0,2023-07-17,,,,,,,,,,,,no_snapshot,
DeepSeek,2023-07-17,https://www.deepseek.com,30,2023-08-16,20231107151928,2,1,0,1,0,0,0,0,0,14,ok,https://web.archive.org/web/20231107151928id_/https://www.deepseek.com
DeepSeek,2023-07-17,https://www.deepseek.com,60,2023-09-15,20231107151928,2,1,0,1,0,0,0,0,0,14,ok,https://web.archive.org/web/20231107151928id_/https://www.deepseek.com
DeepSeek,2023-07-17,https://www.deepseek.com,90,2023-10-15,20231107151928,2,1,0,1,0,0,0,0,0,14,ok,https://web.archive.org/web/20231107151928id_/https://www.deepseek.com
DeepSeek,2023-07-17,https://www.deepseek.com,180,2024-01-13,20240113134135,3,1,0,1,0,0,1,0,0,8,ok,https://web.archive.org/web/20240113134135id_/https://www.deepseek.com
Llama 2,2023-07-18,https://ai.meta.com/llama/,0,2023-07-18,20230719000511,5,1,0,1,0,0,1,1,1,375,ok,https://web.archive.org/web/20230719000511id_/https://ai.meta.com/llama/
Llama 2,2023-07-18,https://ai.meta.com/llama/,30,2023-08-17,20230817151018,5,1,0,1,0,0,1,1,1,1196,ok,https://web.archive.org/web/20230817151018id_/https://ai.meta.com/llama/
Llama 2,2023-07-18,https://ai.meta.com/llama/,60,2023-09-16,20230916170435,5,1,0,1,0,0,1,1,1,1240,ok,https://web.archive.org/web/20230916170435id_/https://ai.meta.com/llama/
Llama 2,2023-07-18,https://ai.meta.com/llama/,90,2023-10-16,20231017071742,5,1,0,1,0,0,1,1,1,1236,ok,https://web.archive.org/web/20231017071742id_/https://ai.meta.com/llama/
Llama 2,2023-07-18,https://ai.meta.com/llama/,180,2024-01-14,20240114060020,5,1,0,1,0,0,1,1,1,1283,ok,https://web.archive.org/web/20240114060020id_/https://ai.meta.com/llama/
Sakana AI,2023-08-01,https://sakana.ai,0,2023-08-01,20230817170943,3,1,1,0,0,0,1,0,0,36,ok,https://web.archive.org/web/20230817170943id_/https://sakana.ai
Sakana AI,2023-08-01,https://sakana.ai,30,2023-08-31,20230821044148,3,1,1,0,0,0,1,0,0,36,ok,https://web.archive.org/web/20230821044148id_/https://sakana.ai
Sakana AI,2023-08-01,https://sakana.ai,60,2023-09-30,20230930232300,3,1,1,0,0,0,1,0,0,36,ok,https://web.archive.org/web/20230930232300id_/https://sakana.ai
Sakana AI,2023-08-01,https://sakana.ai,90,2023-10-30,,,,,,,,,,,,no_snapshot,
Sakana AI,2023-08-01,https://sakana.ai,180,2024-01-28,20240117132702,3,1,1,0,0,0,1,0,0,43,ok,https://web.archive.org/web/20240117132702id_/https://sakana.ai
Qwen,2023-08-03,https://qwenlm.github.io,0,2023-08-03,20240130032216,6,1,0,1,1,1,1,0,1,525,ok,https://web.archive.org/web/20240130032216id_/https://qwenlm.github.io
Qwen,2023-08-03,https://qwenlm.github.io,30,2023-09-02,20240130032216,6,1,0,1,1,1,1,0,1,525,ok,https://web.archive.org/web/20240130032216id_/https://qwenlm.github.io
Qwen,2023-08-03,https://qwenlm.github.io,60,2023-10-02,20240130032216,6,1,0,1,1,1,1,0,1,525,ok,https://web.archive.org/web/20240130032216id_/https://qwenlm.github.io
Qwen,2023-08-03,https://qwenlm.github.io,90,2023-11-01,20240130032216,6,1,0,1,1,1,1,0,1,525,ok,https://web.archive.org/web/20240130032216id_/https://qwenlm.github.io
Qwen,2023-08-03,https://qwenlm.github.io,180,2024-01-30,20240130032216,6,1,0,1,1,1,1,0,1,525,ok,https://web.archive.org/web/20240130032216id_/https://qwenlm.github.io
Ideogram,2023-08-22,https://ideogram.ai,0,2023-08-22,20230823145956,2,1,0,1,0,0,0,0,0,1,ok,https://web.archive.org/web/20230823145956id_/https://ideogram.ai
Ideogram,2023-08-22,https://ideogram.ai,30,2023-09-21,20230922054119,3,1,0,1,0,0,1,0,0,6,ok,https://web.archive.org/web/20230922054119id_/https://ideogram.ai
Ideogram,2023-08-22,https://ideogram.ai,60,2023-10-21,,,,,,,,,,,,no_snapshot,
Ideogram,2023-08-22,https://ideogram.ai,90,2023-11-20,20231118170136,3,1,0,1,0,0,1,0,0,5,ok,https://web.archive.org/web/20231118170136id_/https://ideogram.ai
Ideogram,2023-08-22,https://ideogram.ai,180,2024-02-18,,,,,,,,,,,,no_snapshot,
Kimi,2023-10-09,https://kimi.moonshot.cn,0,2023-10-09,20231209014333,2,1,0,1,0,0,0,0,0,10,ok,https://web.archive.org/web/20231209014333id_/https://kimi.moonshot.cn
Kimi,2023-10-09,https://kimi.moonshot.cn,30,2023-11-08,20231209014333,2,1,0,1,0,0,0,0,0,10,ok,https://web.archive.org/web/20231209014333id_/https://kimi.moonshot.cn
Kimi,2023-10-09,https://kimi.moonshot.cn,60,2023-12-08,,,,,,,,,,,,no_snapshot,
Kimi,2023-10-09,https://kimi.moonshot.cn,90,2024-01-07,20240118134234,2,1,0,1,0,0,0,0,0,10,ok,https://web.archive.org/web/20240118134234id_/https://kimi.moonshot.cn
Kimi,2023-10-09,https://kimi.moonshot.cn,180,2024-04-06,20240407011600,2,1,0,1,0,0,0,0,0,10,ok,https://web.archive.org/web/20240407011600id_/https://kimi.moonshot.cn
Grok,2023-11-04,https://x.ai/grok,0,2023-11-04,20241208021015,2,0,1,0,0,0,0,1,0,20,ok,https://web.archive.org/web/20241208021015id_/https://x.ai/grok
Grok,2023-11-04,https://x.ai/grok,30,2023-12-04,20241208021015,2,0,1,0,0,0,0,1,0,20,ok,https://web.archive.org/web/20241208021015id_/https://x.ai/grok
